target_population	delivery_model	setting	income_level	followup_reporting_level	n_records
rural_low_access	unk	home_mail	UNK	none	1
rural_low_access	unk	home_mail	UNK	referral_only	1
underscreened_general	chw_door_to_door	community_outreach	UNK	completion_reported	1
underscreened_general	chw_door_to_door	community_outreach	UNK	none	1
underscreened_general	clinic_pickup_return_clinic	community_clinic	HIC	none	1
underscreened_general	clinic_pickup_return_clinic	community_outreach	UNK	referral_only	3
underscreened_general	clinic_pickup_return_clinic	home_mail	HIC	referral_only	2
underscreened_general	clinic_pickup_return_clinic	other	HIC	none	1
underscreened_general	clinic_pickup_return_clinic	primary_care	HIC	none	1
underscreened_general	clinic_pickup_return_clinic	primary_care	HIC	referral_only	5
underscreened_general	clinic_pickup_return_clinic	primary_care	LMIC	none	1
underscreened_general	clinic_pickup_return_clinic	primary_care	UNK	none	4
underscreened_general	clinic_pickup_return_clinic	primary_care	UNK	referral_only	12
underscreened_general	mail_to_home_return_mail	community_outreach	UNK	none	1
underscreened_general	mail_to_home_return_mail	home_mail	HIC	completion_reported	1
underscreened_general	mail_to_home_return_mail	home_mail	HIC	none	9
underscreened_general	mail_to_home_return_mail	home_mail	HIC	referral_only	4
underscreened_general	mail_to_home_return_mail	home_mail	UNK	none	11
underscreened_general	mail_to_home_return_mail	home_mail	UNK	referral_only	5
underscreened_general	mail_to_home_return_mail	organized_screening	HIC	referral_only	1
underscreened_general	mail_to_home_return_mail	other	UNK	none	2
underscreened_general	mail_to_home_return_mail	primary_care	HIC	none	1
underscreened_general	mail_to_home_return_mail	primary_care	UNK	none	1
underscreened_general	mixed_or_multiarm	organized_screening	HIC	none	2
underscreened_general	mixed_or_multiarm	organized_screening	LMIC	none	1
underscreened_general	outreach_event_distribution	community_outreach	HIC	none	2
underscreened_general	outreach_event_distribution	community_outreach	HIC	referral_only	3
underscreened_general	outreach_event_distribution	community_outreach	LMIC	none	1
underscreened_general	outreach_event_distribution	community_outreach	UNK	none	2
underscreened_general	outreach_event_distribution	community_outreach	UNK	referral_only	1
underscreened_general	outreach_event_distribution	home_mail	HIC	none	1
underscreened_general	outreach_event_distribution	home_mail	UNK	none	1
underscreened_general	outreach_event_distribution	home_mail	UNK	referral_only	1
underscreened_general	outreach_event_distribution	primary_care	HIC	none	1
underscreened_general	outreach_event_distribution	primary_care	UNK	none	1
underscreened_general	outreach_event_distribution	primary_care	UNK	referral_only	1
underscreened_general	unk	community_outreach	HIC	referral_only	1
underscreened_general	unk	home_mail	HIC	none	2
underscreened_general	unk	home_mail	HIC	referral_only	1
underscreened_general	unk	home_mail	UNK	none	4
underscreened_general	unk	home_mail	UNK	referral_only	1
underscreened_general	unk	other	HIC	none	3
underscreened_general	unk	other	HIC	referral_only	4
underscreened_general	unk	other	UNK	none	7
underscreened_general	unk	other	UNK	referral_only	2
underscreened_general	unk	primary_care	UNK	referral_only	1
